#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B2879F
#Date Time: 2025-09-03 15:07:15.813
#Sample rate: 800000Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 500 mV/div Offset: 0 V Sample Mode: Average
#Channel 2: Range: 500 mV/div Offset: 0 V Sample Mode: Average
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Sine
#Frequency: 1 kHz
#Period: 1 ms
#Amplitude: 500 mV
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °
#Power Supplies: ON
#Positive Supply: ON
#Voltage: 3.5 V
#Negative Supply: ON
#Voltage: -3.5 V

Time (s),Channel 1 (V),Channel 2 (V)
-0.0003388194444444445,-0.4199835905639174,-0.377428603827167
-0.0003375694444444445,-0.4216624065414964,-0.3787684694561183
-0.0003363194444444445,-0.4246842753011388,-0.3807782678995452
-0.0003350694444444445,-0.4250200384966546,-0.3821181335284964
-0.0003338194444444445,-0.4280419072562969,-0.3827880663429721
-0.0003325694444444445,-0.4300564864293918,-0.3854677976008746
-0.0003313194444444445,-0.4320710656024866,-0.3868076632298259
-0.0003300694444444445,-0.4344214079710974,-0.3864726968225881
-0.0003288194444444445,-0.4361002239486764,-0.3894873944877284
-0.0003275694444444445,-0.4371075135352239,-0.390157327302204
-0.0003263194444444445,-0.4394578559038346,-0.3918321593383931
-0.0003250694444444445,-0.4418081982724453,-0.3931720249673444
-0.0003238194444444444,-0.4428154878589927,-0.3945118905962957
-0.0003225694444444444,-0.4434870142500243,-0.3948468570035334
-0.0003213194444444444,-0.4461731198141508,-0.3968566554469604
-0.0003200694444444444,-0.4471804094006983,-0.3971916218541982
-0.0003188194444444445,-0.4505380413558564,-0.3995363867048629
-0.0003175694444444445,-0.4518810941379197,-0.4002063195193385
-0.0003163194444444445,-0.4532241469199829,-0.4025510843700033
-0.0003150694444444445,-0.4545671997020462,-0.4022161179627654
-0.0003138194444444445,-0.4572533052661727,-0.4038909499989545
-0.0003125694444444445,-0.4582605948527201,-0.4038909499989545
-0.0003113194444444445,-0.4599394108302992,-0.4069056476640948
-0.0003100694444444445,-0.460275174025815,-0.4069056476640948
-0.0003088194444444445,-0.4616182268078783,-0.4079105468858083
-0.0003075694444444445,-0.4639685691764889,-0.4095853789219974
-0.0003063194444444445,-0.465647385154068,-0.4109252445509486
-0.0003050694444444445,-0.4659831483495838,-0.4109252445509486
-0.0003038194444444444,-0.4683334907181945,-0.4122651101798999
-0.0003025694444444444,-0.4690050171092262,-0.4126000765871377
-0.0003013194444444444,-0.4690050171092262,-0.4129350429943755
-0.0003000694444444444,-0.471019596282321,-0.413939942216089
-0.0002988194444444444,-0.4726984122599001,-0.4166196734739915
-0.0002975694444444445,-0.4743772282374792,-0.4169546398812293
-0.0002963194444444445,-0.4757202810195424,-0.4169546398812293
-0.0002950694444444445,-0.4763918074105741,-0.4179595391029428
-0.0002938194444444445,-0.4770633338016057,-0.4182945055101806
-0.0002925694444444445,-0.4777348601926373,-0.4182945055101806
-0.0002913194444444445,-0.478406386583669,-0.419299404731894
-0.0002900694444444445,-0.4814282553433112,-0.4213092031753209
-0.0002888194444444445,-0.4814282553433112,-0.4209742367680831
-0.0002875694444444445,-0.4831070713208903,-0.4219791359897966
-0.0002863194444444445,-0.4834428345164061,-0.4226490688042722
-0.0002850694444444445,-0.4834428345164061,-0.4209742367680831
-0.0002838194444444445,-0.4847858872984694,-0.4239889344332234
-0.0002825694444444444,-0.4861289400805326,-0.4239889344332234
-0.0002813194444444444,-0.4864647032760485,-0.4236539680259856
-0.0002800694444444444,-0.4874719928625959,-0.4243239008404613
-0.0002788194444444444,-0.4874719928625959,-0.4246588672476991
