#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B2879F
#Date Time: 2025-09-03 15:13:30.137
#Sample rate: 800000Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 500 mV/div Offset: 0 V Sample Mode: Average
#Channel 2: Range: 500 mV/div Offset: 0 V Sample Mode: Average
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Sine
#Frequency: 1 kHz
#Period: 1 ms
#Amplitude: 500 mV
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °
#Power Supplies: ON
#Positive Supply: ON
#Voltage: 3.5 V
#Negative Supply: ON
#Voltage: -3.5 V

Time (s),Channel 1 (V),Channel 2 (V)
0.003920625,-0.2379999385943464,-0.2146349299095884
0.003921875,-0.2353138330302199,-0.2112852658372103
0.003923125,-0.2299416219019668,-0.2096104338010212
0.003924375,-0.2275912795333561,-0.206260769728643
0.003925624999999999,-0.2232263579916506,-0.2015712400273136
0.003926875,-0.2198687260364924,-0.1988915087694111
0.003928124999999999,-0.2171826204723659,-0.1962117775115086
0.003929375,-0.2144965149082394,-0.1931970798463682
0.003930625,-0.2111388829530813,-0.1901823821812279
0.003931875,-0.2074454878024073,-0.1861627852943741
0.003933125,-0.2024090398696701,-0.1841529868509472
0.003934375,-0.1993871711100278,-0.1797984235568556
0.003935625,-0.1950222495683222,-0.1771186922989531
0.003936874999999999,-0.1913288544176483,-0.1737690282265749
0.003938125,-0.1889785120490376,-0.1697494313397211
0.003939375,-0.1842778273118162,-0.166399767267343
0.003940625,-0.1805844321611422,-0.1637200360094404
0.003941875,-0.1768910370104683,-0.1613752711587757
0.003943125,-0.1742049314463418,-0.1576906406791597
0.003944375,-0.1708472994911836,-0.1543409766067816
0.003945624999999999,-0.1664823779494781,-0.1503213797199278
0.003946875,-0.1624532196032883,-0.1469717156475496
0.003948124999999999,-0.1607744036257092,-0.1442919843896471
0.003949375,-0.1550664293019404,-0.1412772867245067
0.003950625,-0.1520445605422981,-0.137257689837653
0.003951875,-0.1486869285871399,-0.1345779585797504
0.003953125,-0.1439862438499185,-0.1302233952856588
0.003954375,-0.1402928486992446,-0.1278786304349941
0.003955625,-0.1362636903530548,-0.1235240671409025
0.003956874999999999,-0.1335775847889283,-0.1201744030685243
0.003958125,-0.1288769000517069,-0.1174946718106218
0.003959374999999999,-0.1248477417055172,-0.1128051421092924
0.003960625,-0.121490109750359,-0.1104603772586277
0.003961875,-0.1174609514041693,-0.1064407803717739
0.003963125,-0.1134317930579795,-0.1024211834849201
0.003964375,-0.1114172138848846,-0.100746351448731
0.003965625,-0.1067165291476632,-0.09706172096911506
0.003966875,-0.1030231339969893,-0.09371205689673689
0.003968124999999999,-0.09966550204183114,-0.09069735923159655
0.003969375,-0.09462905410909393,-0.08634279593750493
0.003970624999999999,-0.09093565895841998,-0.08299313186512677
0.003971875,-0.08858531658980928,-0.08131829982893771
0.003973125,-0.08254157907052465,-0.0749539380914192
0.003974375,-0.07985547350639813,-0.07260917324075447
0.003975625,-0.07549055196469255,-0.06925950916837631
0.003976875,-0.07078986722747116,-0.06523991228152254
0.003978125,-0.06843952485886047,-0.06021541617295529
0.003979374999999999,-0.06407460331715489,-0.05854058413676621
0.003980625,-0.06004544497096513,-0.05552588647162587
0.003981875,-0.05534476023374374,-0.05083635677029644
0.003983125,-0.05299441786513305,-0.04815662551239391
0.003984375,-0.04896525951894327,-0.04380206221830231
0.003985625,-0.0446003379772377,-0.04045239814592415
0.003986875,-0.04023541643553212,-0.03576286844459473
0.003988124999999999,-0.03587049489382654,-0.03442300281564346
0.003989375,-0.03352015252521585,-0.03207823796497875
0.003990624999999999,-0.02949099417902609,-0.02537890982022243
0.003991875,-0.02579759902835214,-0.02403904419127116
0.003993125,-0.02042538790009912,-0.02001944730441737
0.003994375,-0.01673199274942517,-0.01532991760308795
0.003995625,-0.01404588718529866,-0.01164528712347197
0.003996875,-0.009680965643593083,-0.009300522272807263
0.003998125,-0.004308754515340065,-0.006285824607666919
0.003999374999999999,-0.00195841214672937,-0.0005913956846240475
0.004000625,0.001063456612912953,0.001418402758802848
0.004001874999999999,0.007778720523229227,0.004098134016705376
0.004003125,0.01147211567390318,0.009122630125272615
0.004004375,0.0144939844335455,0.01314222701212641
0.004005625,0.01852314277973526,0.01381215982660204
0.004006875,0.0218807747348934,0.01984155515688273
0.004008125,0.02523840669005153,0.0235261856364987
0.004009375,0.03061061781830456,0.02587095048716341
0.004010624999999999,0.03329672338243106,0.02855068174506594
0.004011875,0.0390046977061999,0.03458007707534663
0.004013124999999999,0.0413550400748106,0.03658987551877353
0.004014375,0.04538419842100036,0.03893464036943824
0.004015625,0.04807030398512686,0.04295423725629203
0.004016875,0.05344251511337988,0.04998853180828616
0.004018125,0.05780743665508546,0.05099343102999961
0.004019375,0.06082930541472778,0.05400812869513996
0.004020625,0.06519422695643337,0.05836269198923157
0.004021874999999999,0.06888762210710732,0.05970255761818283
0.004023125,0.07190949086674964,0.06271725528332317
0.004024375,0.07728170199500266,0.0677417513918904
0.004025625,0.08063933395016079,0.0741061131294089
0.004026875,0.08433272910083474,0.0741061131294089
0.004028125,0.08735459786047707,0.07946557564521398
0.004029375,0.09306257218424589,0.08415510534654339
0.004030624999999999,0.09709173053043565,0.08582993738273248
0.004031875,0.09977783609456217,0.08783973582615937
0.004033124999999999,0.1031354680497203,0.09386913115644005
0.004034375,0.1078361527869417,0.09721879522881821
0.004035625,0.110858021546584,0.09688382882158039
0.004036875,0.1148871798927738,0.1029132241518611
0.004038125,0.1195878646299952,0.108607653074904
0.004039375,0.1219382069986059,0.1096125522966174
0.004040625,0.1259673653447956,0.1119573171472821
0.004041874999999999,0.1310038132775328,0.1186566452920384
0.004043125,0.134361445232691,0.1199965109209897
0.004044374999999999,0.1383906035788807,0.1223412757716544
0.004045625,0.1417482355340389,0.1263608726585082
0.004046875,0.1447701042936812,0.1310504023598376
0.004048125,0.148799262639871,0.1320553015815511
0.004049375,0.1528284209860607,0.1367448312828805
0.004050625,0.1568575793322505,0.1417693273914477
0.004051875,0.1598794480918928,0.1424392602059234
0.004053124999999999,0.16491589602463,0.1457889242783015
0.004054375,0.1669304751977249,0.1518183196085822
0.004055624999999999,0.1706238703483988,0.1534931516447713
0.004056875,0.1749887918901044,0.1561728829026738
0.004058125,0.1790179502362942,0.1601924797895276
0.004059375,0.1823755821914523,0.1658869087125705
0.004060625,0.1860689773421263,0.1668918079342839
0.004061875,0.1887550829062528,0.1682316735632352
0.004063125,0.1941272940345058,0.175935900929705
0.004064374999999999,0.1978206891851798,0.1769408001514184
0.004065625,0.202857137117917,0.1792855650020831
0.004066875,0.204535953095496,0.1843100611106504
0.004068125,0.2075578218551384,0.1879946915902664
0.004069375,0.2112512170058123,0.1896695236264554
0.004070625,0.2142730857654546,0.1930191876988336
0.004071875,0.2186380073071602,0.1980436838074008
0.004073124999999999,0.2213241128712867,0.1987136166218764
0.004074375,0.2250175080219607,0.2020632806942546
0.004075624999999999,0.2300539559546979,0.2054129447666328
0.004076875,0.2330758247143402,0.2094325416534866
0.004078125,0.2357619302784667,0.2101024744679622
0.004079375,0.2374407462560458,0.2151269705765294
0.004080625,0.2418056677977513,0.2191465674633832
0.004081875,0.2471778789260044,0.2211563659068101
0.004083125,0.247849405317036,0.2218262987212858
0.004084374999999999,0.2525500900542574,0.2298654924949934
0.004085625,0.2565792484004472,0.230535425309469
0.004086874999999999,0.2602726435511211,0.2318752909384202
0.004088125,0.262287222724216,0.2368997870469875
0.004089375,0.2659806178748899,0.2412543503410791
0.004090625,0.2693382498300481,0.2402494511193656
0.004091875,0.273031644980722,0.2452739472279329
0.004093125,0.276725040131396,0.2496285105220245
0.004094375,0.2790753825000067,0.2509683761509757
0.004095624999999999,0.2827687776506806,0.2533131410016404
0.004096875,0.2861264096058387,0.2569977714812564
0.004098124999999999,0.2881409887789336,0.2606824019608724
0.004099375,0.2921701471251234,0.2630271668115371
0.004100625,0.2941847262982183,0.2647019988477262
0.004101875,0.2985496478399238,0.2683866293273421
0.004103125,0.301907279795082,0.2707313941780068
0.004104375,0.3056006749457559,0.2744160246576228
0.004105625,0.3089583069009141,0.2774307223227632
0.004106874999999999,0.3099655964874615,0.2791055543589523
0.004108125,0.3143305180291671,0.2831251512458061
0.004109375,0.3170166235932936,0.2854699160964708
0.004110625,0.3203742555484517,0.2871447481326598
0.004111875,0.3233961243080941,0.2921692442412271
0.004113125,0.3260822298722206,0.2928391770557027
0.004114375,0.3291040986318629,0.294179042684654
0.004115624999999999,0.3317902041959894,0.29786367316427
0.004116875,0.3341405465646001,0.301548303643886
0.004118124999999999,0.3385054681063057,0.3028881692728372
0.004119375,0.3405200472794006,0.306907766159691
0.004120625,0.3442134424300745,0.3115972958610204
0.004121875,0.3465637847986852,0.3109273630465448
0.004123125,0.3502571799493592,0.3129371614899717
0.004124375,0.3529432855134856,0.3189665568202524
0.004125625,0.3552936278820963,0.319636489634728
0.004126874999999999,0.3573082070551912,0.3203064224492037
0.004128125,0.361337365401381,0.3246609857432952
0.004129374999999999,0.3636877077699917,0.3283456162229112
