#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B2879F
#Date Time: 2025-09-03 15:14:52.438
#Sample rate: 800000Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 500 mV/div Offset: 0 V Sample Mode: Average
#Channel 2: Range: 500 mV/div Offset: 0 V Sample Mode: Average
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Sine
#Frequency: 1 kHz
#Period: 1 ms
#Amplitude: 500 mV
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °
#Power Supplies: ON
#Positive Supply: ON
#Voltage: 3.5 V
#Negative Supply: ON
#Voltage: -3.5 V

Time (s),Channel 1 (V),Channel 2 (V)
-0.0003815277777777777,-0.3340282125118691,-0.3087604903434147
-0.0003802777777777778,-0.3363785548804797,-0.3117751880085551
-0.0003790277777777778,-0.3387288972490904,-0.3131150536375064
-0.0003777777777777778,-0.343093818790796,-0.3164647177098845
-0.0003765277777777778,-0.3444368715728593,-0.3178045833388358
-0.0003752777777777778,-0.3481302667235333,-0.3204843145967383
-0.0003740277777777778,-0.3501448458966281,-0.3221591466329274
-0.0003727777777777778,-0.3528309514607547,-0.3255088107053056
-0.0003715277777777778,-0.3558528202203969,-0.3275186091487324
-0.0003702777777777777,-0.357531636197976,-0.3281885419632081
-0.0003690277777777777,-0.3618965577396816,-0.3308682732211106
-0.0003677777777777777,-0.3659257160858714,-0.3342179372934888
-0.0003665277777777777,-0.3676045320634505,-0.3358927693296779
-0.0003652777777777777,-0.3692833480410295,-0.3382375341803426
-0.0003640277777777777,-0.3706264008230928,-0.3399123662165316
-0.0003627777777777777,-0.3739840327782509,-0.3415871982527207
-0.0003615277777777777,-0.3763343751468616,-0.3439319631033854
-0.0003602777777777778,-0.3793562439065039,-0.3452718287323367
-0.0003590277777777778,-0.3823781126661462,-0.3486214928047149
-0.0003577777777777778,-0.3857357446213044,-0.3496263920264283
-0.0003565277777777778,-0.3874145605988835,-0.3509662576553796
-0.0003552777777777778,-0.3897649029674941,-0.3533110225060443
-0.0003540277777777778,-0.3914437189450732,-0.3553208209494712
-0.0003527777777777778,-0.3948013509002313,-0.3583355186146115
-0.0003515277777777778,-0.397151693268842,-0.359340417836325
-0.0003502777777777778,-0.3995020356374527,-0.3613502162797519
-0.0003490277777777777,-0.4005093252240002,-0.3623551155014653
-0.0003477777777777777,-0.4025239043970951,-0.3640299475376544
-0.0003465277777777777,-0.4052100099612216,-0.3667096787955569
-0.0003452777777777777,-0.4085676419163797,-0.368384510831746
-0.0003440277777777777,-0.4099106946984429,-0.3693894100534594
-0.0003427777777777777,-0.4125968002625695,-0.3693894100534594
-0.0003415277777777777,-0.4149471426311802,-0.3734090069403133
-0.0003402777777777777,-0.4159544322177276,-0.3740789397547889
-0.0003390277777777778,-0.4193120641728857,-0.3760887381982158
-0.0003377777777777778,-0.4196478273684016,-0.3767586710126914
-0.0003365277777777778,-0.4219981697370123,-0.3791034358633561
-0.0003352777777777778,-0.4253558016921704,-0.3801083350850696
-0.0003340277777777778,-0.4277061440607811,-0.3834579991574477
-0.0003327777777777778,-0.4293849600383601,-0.3851328311936368
-0.0003315277777777778,-0.4317353024069708,-0.3861377304153503
-0.0003302777777777778,-0.4337498815800657,-0.3874775960443015
-0.0003290277777777777,-0.4344214079710974,-0.3868076632298259
-0.0003277777777777777,-0.4374432767307397,-0.3891524280804906
-0.0003265277777777777,-0.4381148031217713,-0.3911622265239175
-0.0003252777777777777,-0.4414724350769295,-0.3931720249673444
-0.0003240277777777777,-0.4424797246634769,-0.3941769241890578
-0.0003227777777777777,-0.4434870142500243,-0.3955167898180091
-0.0003215277777777777,-0.445837356618635,-0.3958517562252469
-0.0003202777777777777,-0.4475161725962141,-0.3978615546686738
-0.0003190277777777778,-0.4502022781603406,-0.3992014202976251
